15695,-928,3378,-2101,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
15736,-1011,3418,-2028,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
15777,-999,3446,-2039,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
15819,-1009,3428,-2022,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
15860,-977,3448,-2076,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
15901,-959,3382,-2043,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
15942,-955,3379,-2052,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
15983,-991,3369,-2033,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16025,-1412,3622,-2126,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16061,-1016,3427,-2031,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16097,-1131,3678,-1819,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16133,-1129,3373,-1826,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16169,-1067,3535,-1877,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16205,-922,3422,-1776,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16241,-949,3422,-1686,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16277,-911,3507,-1855,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16313,-980,3622,-1742,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16349,-1005,3589,-1801,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16385,-999,3543,-1854,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16423,-947,3555,-1880,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16461,-936,3540,-1838,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16499,-956,3571,-1800,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16537,-993,3559,-1811,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16575,-967,3521,-1808,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16613,-952,3528,-1837,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16651,-960,3540,-1793,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16689,-951,3514,-1845,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16727,-910,3547,-1908,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16766,-973,3497,-1740,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16806,-914,3525,-1865,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16846,-951,3558,-1833,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16886,-955,3567,-1882,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16927,-967,3511,-1804,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
16967,-990,3556,-1819,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17007,-903,3519,-1890,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17047,-899,3452,-1811,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17088,-923,3550,-1857,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17128,-944,3524,-1841,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17168,-938,3538,-1853,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17209,-915,3585,-1863,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17246,-899,3550,-1828,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17283,-918,3535,-1841,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17321,-898,3546,-1825,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17358,-895,3561,-1871,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17396,-852,3511,-1821,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17433,-885,3503,-1825,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17470,-896,3543,-1811,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17508,-923,3566,-1787,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17545,-879,3606,-1897,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17583,-908,3598,-1804,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17621,-885,3533,-1875,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17660,-871,3482,-1829,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17698,-875,3493,-1845,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17737,-898,3557,-1861,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17776,-926,3565,-1863,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17814,-889,3539,-1843,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17853,-870,3546,-1881,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17892,-878,3575,-1834,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17930,-857,3532,-1902,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
17969,-924,3604,-1770,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18008,-871,3511,-1894,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18044,-943,3523,-1797,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18080,-921,3549,-1847,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18116,-898,3550,-1843,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18152,-899,3558,-1837,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18189,-931,3546,-1809,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18225,-934,3570,-1830,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18261,-897,3513,-1797,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18297,-911,3524,-1810,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18333,-923,3518,-1835,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18370,-933,3463,-1802,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18410,-931,3496,-1806,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18450,-907,3552,-1835,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18491,-950,3596,-1799,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18531,-895,3581,-1850,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18572,-943,3549,-1852,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18612,-922,3556,-1829,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18652,-902,3521,-1860,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18693,-933,3491,-1810,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18733,-920,3521,-1849,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18774,-937,3550,-1862,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18808,-922,3527,-1860,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18842,-927,3535,-1857,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18876,-876,3588,-1817,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18911,-908,3528,-1836,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18945,-890,3514,-1921,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
18979,-973,3602,-1842,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19013,-934,3586,-1901,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19048,-950,3578,-1847,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19082,-935,3493,-1902,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19116,-908,3481,-1858,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19151,-908,3515,-1871,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19191,-876,3548,-1896,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19231,-923,3572,-1895,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19271,-924,3528,-1885,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19311,-898,3475,-1856,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19351,-908,3506,-1863,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19391,-908,3519,-1891,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19431,-899,3502,-1873,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19471,-863,3476,-1921,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19511,-949,3567,-1807,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19552,-839,3467,-1931,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19590,-927,3564,-1820,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19628,-903,3493,-1913,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19666,-900,3474,-1832,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19704,-917,3526,-1860,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19742,-837,3497,-1908,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19780,-898,3501,-1842,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19818,-876,3474,-1878,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19856,-868,3520,-1903,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19894,-879,3528,-1891,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19932,-859,3504,-1915,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
19971,-864,3524,-1930,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20011,-881,3458,-1900,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20051,-932,3528,-1862,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20092,-839,3521,-2023,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20132,-947,3583,-1835,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20173,-888,3531,-1963,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20213,-893,3484,-1905,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20253,-911,3561,-1882,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20294,-873,3525,-1961,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20334,-861,3520,-1879,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20375,-895,3485,-1890,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20413,-886,3524,-1923,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20451,-870,3486,-1929,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20489,-856,3505,-1914,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20527,-866,3504,-1936,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20566,-898,3428,-1898,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20604,-940,3532,-1843,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20642,-808,3484,-2036,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20680,-885,3555,-1887,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20718,-874,3545,-1944,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20757,-897,3485,-1885,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20795,-869,3520,-1894,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20833,-873,3525,-1971,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20871,-880,3500,-1881,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20909,-885,3507,-1906,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20947,-896,3507,-1893,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
20985,-882,3484,-1921,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21023,-891,3542,-1945,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21061,-904,3490,-1922,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21099,-889,3514,-1898,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21137,-845,3440,-1930,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21175,-988,3554,-1797,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21215,-860,3482,-1968,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21256,-891,3500,-1862,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21297,-903,3492,-1914,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21338,-894,3494,-1875,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21379,-909,3500,-1906,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21419,-888,3535,-1945,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21460,-907,3511,-1882,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21501,-926,3505,-1885,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21542,-909,3509,-1901,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21583,-904,3499,-1900,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21618,-891,3524,-1909,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21653,-919,3500,-1872,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21688,-882,3500,-1887,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21723,-898,3503,-1869,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21758,-899,3488,-1902,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21794,-920,3534,-1977,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21829,-888,3563,-1877,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21864,-896,3514,-1876,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21899,-898,3463,-1900,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21934,-891,3519,-1868,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
21970,-893,3523,-1937,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22010,-897,3500,-1858,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22050,-912,3509,-1878,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22091,-922,3511,-1906,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22131,-886,3514,-1895,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22172,-892,3504,-1893,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22212,-904,3517,-1903,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22252,-893,3528,-1884,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22293,-906,3570,-1921,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22333,-900,3538,-1942,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22374,-936,3558,-1824,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22415,-892,3523,-1950,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22456,-901,3535,-1848,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22497,-860,3464,-1924,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22538,-872,3466,-1869,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22579,-891,3534,-1895,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22620,-867,3533,-1936,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22661,-882,3511,-1902,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22702,-908,3506,-1882,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22743,-890,3512,-1888,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22784,-884,3550,-1900,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22819,-885,3510,-1919,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22854,-894,3523,-1912,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22889,-884,3493,-1910,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22925,-888,3496,-1890,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22960,-855,3488,-1934,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
22995,-938,3536,-1879,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23030,-886,3493,-1931,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23066,-895,3505,-1887,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23101,-859,3410,-1953,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23136,-908,3454,-1872,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23172,-899,3503,-1930,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23216,-904,3466,-1902,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23261,-936,3520,-1905,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23306,-906,3480,-1920,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23350,-902,3523,-1936,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23395,-876,3522,-1934,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23440,-912,3529,-1925,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23484,-930,3494,-1928,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23529,-932,3497,-1868,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23574,-892,3450,-1950,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23619,-918,3497,-1913,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23652,-899,3513,-1903,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23685,-885,3509,-1904,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23718,-905,3488,-1944,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23751,-886,3474,-1883,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23784,-893,3514,-1941,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23817,-915,3525,-1909,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23850,-919,3507,-1895,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23883,-897,3515,-1919,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23916,-882,3505,-1897,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23949,-892,3521,-1891,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
23983,-894,3505,-1901,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24021,-885,3499,-1908,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24060,-917,3486,-1904,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24098,-944,3523,-1853,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24137,-891,3498,-1954,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24175,-910,3533,-1860,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24214,-897,3501,-1907,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24252,-911,3514,-1899,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24291,-904,3574,-1881,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24329,-892,3539,-1910,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24368,-921,3510,-1853,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24408,-939,3506,-1889,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24449,-924,3522,-1883,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24490,-912,3525,-1887,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24530,-926,3510,-1872,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24571,-901,3592,-1901,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24612,-931,3521,-1869,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24652,-901,3463,-1911,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24693,-953,3545,-1822,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24734,-871,3503,-1918,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24775,-946,3548,-1812,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24812,-923,3543,-1958,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24849,-923,3515,-1856,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24886,-919,3498,-1869,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24923,-898,3545,-1884,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24960,-940,3503,-1846,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
24998,-926,3508,-1875,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
25035,-921,3525,-1874,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
25072,-899,3501,-1884,,b9a4ebb2-c786-47f8-9d5a-a27409b8a868,,berdiri,bersedekap,,
